"participant_id","condition","completed_task","number_user_turns","total_user_word_count","average_user_message_length","perc_warmth_bipolar","perc_task_focus_bipolar","psych_safe_1","psych_safe_2","psych_safe_3","psychological_safety_score","openness_1","openness_2_raw","self_reported_honesty_score","engagement_self_report","prior_ai_experience","years_work_experience","age","gender","industry","job_role"
"18bc7cd2-4e93-4d60-af5f-2f1bd6387740","competent","","","","","","","","","","","","","","","","","","","",""
"19f579f0-1551-44d7-9248-778a3dfdc52f","warm","1","3","51","17.0","6","6","7","5","7","6.3333","7","1","7.0","6","4","4.0","27","","Analytics","Data Engineering"
"b01fc5f2-37c0-492d-96f7-769e9b8d2654","warm","","","","","","","","","","","","","","","","","","","",""
"042d94eb-3157-4492-a141-080daeaa683b","warm","","","","","","","","","","","","","","","","","","","",""
"dbf6a66d-6450-4604-864b-3a8caa97729a","competent","1","4","72","18.0","6","6","5","5","6","5.3333","5","5","4.0","3","7","5.0","24","Female","","Working student, project management "
"86f3c723-7d51-4fbb-b10c-3da681b91720","competent","1","3","70","23.33","2","7","7","7","7","7.0","7","1","7.0","5","1","0.5","19","Female","Management and technology","Student"
"c7b79450-6e6e-4ddd-86ac-ed7acf6b67c5","warm","","5","157","","","","","","","","","","","","","","","","",""
"cc901a08-e088-4387-8339-fef45e793141","warm","","","","","","","","","","","","","","","","","","","",""
"d890fb02-ec22-499a-8b0e-adc82aab24f8","warm","1","3","52","17.33","3","5","5","5","5","5.0","5","3","5.0","5","6","3.0","24","Female","",""
"8b503172-ac80-4438-b77b-8fd8c608164a","warm","1","3","69","23.0","4","4","5","5","6","5.3333","7","6","4.5","5","5","3.0","23","Female","",""
"75107c31-64c0-4d20-bf77-d0aa91f084ac","competent","","5","174","","","","","","","","","","","","","","","","",""
"bbe4c79f-1936-4937-8478-74e40a271ee1","warm","1","4","148","37.0","2","1","7","7","7","7.0","7","2","6.5","7","3","5.0","27","Male","Civil engineering","Student"
"d6938eca-8423-48d9-9ccd-ebcb9f0264a0","warm","1","3","87","29.0","5","5","7","6","6","6.3333","7","7","4.0","3","3","6.0","32","Male","Consulting","Project Lead"
